,wavelength,flux_spec
0,9972406.865491299,542324306660.74536
1,9917449.301778276,551691355244.2676
2,9862794.60715695,561261733627.044
3,9808441.112526989,571010437279.8391
4,9754387.157986436,580925489717.6826
5,9700631.092781007,591008679625.8599
6,9647171.275253618,601264917466.7585
7,9594006.072794344,611725843799.9191
8,9541133.86179047,622340256581.4657
9,9488553.027576987,633018080473.7765
10,9436261.964387232,643948430523.7057
11,9384259.07530384,655141279541.4684
12,9332542.772210045,666428506765.4064
13,9281111.475741075,677878325823.248
14,9229963.61523603,689519869976.3107
15,9179097.628689852,701370819358.2633
16,9128511.962705601,713432309205.178
17,9078205.0724471,725654551021.1589
18,9028175.421591662,738087170885.9194
19,8978421.48228325,750785731708.0785
20,8928941.735085774,763675554338.9398
21,8879734.668936688,776746278045.4988
22,8830798.781100878,789923017832.8729
23,8782132.57712472,803328503615.8823
24,8733734.570790494,817096929938.61
25,8685603.284070965,831035398716.4331
26,8637737.247084232,845137075306.0359
27,8590134.998048889,859485648623.1979
28,8542795.083239315,874039454587.5061
29,8495716.056941357,888709279721.4249
30,8448896.481408123,903743574836.1583
31,8402334.92681607,919156594947.6249
32,8356029.9712213995,934734496892.7731
33,8309980.200516552,950481357576.7234
34,8264184.208387089,966284108007.7086
35,8218640.596268719,982544439018.7397
36,8173347.973304563,999278289347.362
37,8128304.956302731,1016044372870.0052
38,8083510.169694023,1033022125137.8057
39,8038962.245489977,1050308839895.3315
40,7994659.823241058,1067840643179.2626
41,7950601.549995099,1085619670312.6307
42,7906786.080256025,1103697992264.2039
43,7863212.075942725,1122087028334.0095
44,7819878.206348221,1140811581194.5125
45,7776783.148098982,1159844718309.4653
46,7733925.585114566,1179184302738.3633
47,7691304.208567402,1198787408894.4092
48,7648917.716842793,1218693800657.5286
49,7606764.815499224,1238915632941.2935
50,7564844.217228769,1259372527064.7607
51,7523154.641817835,1280070836695.4941
52,7481694.8161080275,1301132731689.7668
53,7440463.473957268,1322588862523.3684
54,7399459.35620117,1344534317446.0422
55,7358681.210614516,1366750560482.6436
56,7318127.791873087,1389231640891.8198
57,7277797.861515595,1412130992903.5505
58,7237690.187905847,1435462154818.725
59,7197803.546195176,1459309658335.9485
60,7158136.718284987,1483358614494.2773
61,7118688.492789596,1507611730519.8806
62,7079457.664999229,1532446270313.333
63,7040443.036843193,1557667247586.703
64,7001643.416853352,1583039826386.5486
65,6963057.620127674,1608886203715.878
66,6924684.468294108,1635246766669.5652
67,6886522.789474555,1662147495841.7263
68,6848571.41824908,1689444125484.0554
69,6810829.195620362,1716925263332.6252
70,6773294.968978239,1744899671314.2588
71,6735967.592064569,1773379056777.7383
72,6698845.924938175,1802095040294.7646
73,6661928.8339400655,1831228910605.6191
74,6625215.191658807,1860906632369.1
75,6588703.876896066,1891000346240.3423
76,6552393.774632412,1921526652503.7942
77,6516283.775993245,1952778063169.041
78,6480372.778214913,1984629912693.3833
79,6444659.684611078,2017060193525.9246
80,6409143.404539174,2049851800394.5867
81,6373822.853367154,2083024912081.7244
82,6338696.952440308,2117007656064.794
83,6303764.629048375,2151509935939.147
84,6269024.816392757,2186199468944.404
85,6234476.453553929,2221220418810.7905
86,6200118.485459073,2256653362196.2476
87,6165949.86284982,2293313159644.816
88,6131969.5422502365,2330565684134.7363
89,6098176.485934954,2367738373084.304
90,6064569.661897443,2405881408045.302
91,6031148.043818555,2445020546167.095
92,5997910.611035121,2483964414950.593
93,5964856.3485088255,2523507873495.793
94,5931984.246795194,2564451699372.0527
95,5899293.302012745,2605498613962.8623
96,5866782.515812373,2646663812224.342
97,5834450.895346814,2689354745801.298
98,5802297.453240366,2732692935835.0776
99,5770321.2075587185,2775705103848.304
100,5738521.181778943,2819920426337.128
101,5706896.404759726,2865403131128.853
102,5675445.910711641,2910706596825.295
103,5644168.73916772,2956695138227.286
104,5613063.934954086,3004232633688.213
105,5582130.5481607765,3051999238274.0366
106,5551367.634112766,3099959711735.46
107,5520774.253341079,3148816698810.7207
108,5490349.471554139,3198605850556.063
109,5460092.359609195,3249581704502.985
110,5430001.993483983,3300981129475.6377
111,5400077.454248492,3352813146666.6807
112,5370317.828036881,3406078809511.5625
113,5340722.20601961,3460106698909.1846
114,5311289.684375662,3514113888919.815
115,5282019.364264931,3569066157335.267
116,5252910.351800801,3625040688690.988
117,5223961.758022818,3681946440355.787
118,5195172.698869569,3739686286511.3076
119,5166542.29515166,3798081725501.409
120,5138069.672524882,3857357355277.486
121,5109753.96146351,3917509474644.798
122,5081594.29723373,3978126461760.9385
123,5053589.819867251,4039805247728.0977
124,5025739.674135045,4103356767493.317
125,4998043.0095211975,4167285412171.8657
126,4970498.980196979,4231492906477.36
127,4943106.744994968,4296341878462.935
128,4915865.467383407,4362209103002.3135
129,4888774.315440616,4429535719762.553
130,4861832.461829613,4498212645232.9795
131,4835039.083772848,4568149064805.717
132,4808393.3630270455,4638050575350.022
133,4781894.4858582625,4708753657172.216
134,4755541.643016991,4780742545974.939
135,4729334.0297134835,4854196145570.435
136,4703270.845593159,4929078947812.408
137,4677351.294712143,5004175688991.862
138,4651574.585513003,5080083572553.943
139,4625939.9308005255,5157001300996.514
140,4600446.547717718,5235122644504.341
141,4575093.657721884,5314485603256.358
142,4549880.486560831,5395129665171.971
143,4524806.264249261,5476585413714.807
144,4499870.225045216,5557846460129.227
145,4475071.607426738,5641194094076.046
146,4450409.654068562,5726858173258.838
147,4425883.611819034,5813739446318.318
148,4401492.731677089,5901361982901.869
149,4377236.268769362,5988612489253.322
150,4353113.482327476,6077208078586.455
151,4329123.635665399,6167238571921.9
152,4305265.996156934,6257860711556.14
